Date,Open,High,Low,Close,Volume
2026-01-20,1472.4,1538.9,1366.8,1391.8,48593
2026-01-21,1428.2,1434.1,1376.2,1397,25919
2026-01-22,1421,1481.8,1408.4,1432.7,39591
2026-01-23,1443.4,1445.9,1377,1385.3,27712
2026-01-27,1385.3,1425,1351,1375.6,31910
2026-01-28,1398.8,1409.8,1378,1403.2,30363
2026-01-29,1419.7,1590.8,1390,1544,94320
2026-01-30,1549.7,1557.8,1487.8,1504.3,30861
2026-02-01,1544.9,1559.8,1430.1,1446.9,35603
2026-02-02,1437,1464.6,1413,1431.1,18068
2026-02-03,1517.6,1517.6,1448,1471,18925
2026-02-04,1500.4,1618.7,1484.8,1552.8,33060
2026-02-05,1551.2,1551.9,1501,1518.3,10157
2026-02-06,1518.2,1685,1501.5,1642.1,110577
2026-02-09,1650,1773.1,1649,1707.9,65324
2026-02-10,1707.3,1746.2,1615,1633.1,32802
2026-02-11,1670,1830.5,1621,1790.2,133115
2026-02-13,1820,1885,1740,1785.3,132687
